element	ion_stage	wavelength_vacuum_nm	wavelength_kind	intensity	gA_s-1	Ei_eV	Ek_eV	g_i	g_k	tp_ref	line_ref	quantitative_ready
Th	1	482.447187806	ritz_air	86		1.2911884280	3.8610904140	9	7		L5951	0
Th	1	482.495436599	ritz_air	2300		0.7888365657	3.3584815600	5	3		L18702	0
Th	1	482.534474950	ritz_air	940		0.6897416420	3.2591787500	3	3		L18702	0
Th	1	482.543648382	ritz_air	60		2.7478783540	5.3172666100	9	9		L5951	0
Th	1	482.566104336	ritz_air	41		2.4217109980	4.9909796900	9	7		L5951	0
Th	1	482.608806659	ritz_air	8		1.9205248840	4.4895662400	11	11		L3552	0
Th	1	482.640778136	ritz_air	140		1.3051251700	3.8739963500	7	5		L5951	0
Th	1	482.653156419	ritz_air	36		2.5499363680	5.1187416600	9	7		L5951	0
Th	1	482.690289265	ritz_air	43		1.9365072870	4.5051149700	7	7		L5951	0
Th	1	482.735223179	ritz_air	74		2.2998331450	4.8682017400	5	7		L18702	0
Th	1	482.798329912	ritz_air	230		1.2156410810	3.7836739600	11	9		L5951	0
Th	1	482.804916659	ritz_air	4700		1.2156410810	3.7836389220	11	11		L18702	0
Th	1	482.851441996	ritz_air	40		2.3321286770	4.8998790800	9	9		L5951	0
Th	1	482.959516653	ritz_air	8		2.2267431830	4.7939189800	9	11		L3552	0
Th	1	483.000900627	ritz_air	110		1.6486715920	4.2156274300	9	9		L5951	0
Th	1	483.075770480	ritz_air	35		1.4633771100	4.0299351100	5	5		L5951	0
Th	1	483.089434103	ritz_air	13		2.4732857860	5.0397711900	9	9		L12239	0
Th	1	483.114688800	ritz_air	510		0.7888365657	3.3551878100	5	5		L18702	0
Th	1	483.155260558	ritz_air	8		2.4180816130	4.9842173600	7	7		L3552	0
Th	1	483.247122917	ritz_air	7000		0.4572521355	3.0229000750	5	5		L18702	0
Th	1	483.281391004	ritz_air	230		1.9511353680	4.5166013800	3	5		L5951	0
Th	1	483.294769552	ritz_air	2500		1.0220763970	3.5874713990	5	7		L18702	0
Th	1	483.351667640	ritz_air	34		2.2331265490	4.7982195600	11	9		L5951	0
Th	1	483.377353452	ritz_air	92		1.3937969360	3.9587536440	7	7		L5951	0
Th	1	483.446310738	ritz_air	310		1.9209143920	4.4855052400	9	9		L5951	0
Th	1	483.452912488	ritz_air	630		1.7934589390	4.3580147700	5	5		L5951	0
Th	1	483.478484269	ritz_air	28		2.4197971740	4.9842173600	5	7		L5951	0
Th	1	483.498788654	ritz_air	39		2.9861523160	5.5504648100	13	13		L5951	0
Th	1	483.502674684	ritz_air	170		1.7611043810	4.3253962600	11	11		L5951	0
Th	1	483.512382259	ritz_air	20		2.4180816130	4.9823220100	7	5		L12239	0
Th	1	483.517829703	ritz_air	230		1.5019899800	4.0662014900	5	7		L5951	0
Th	1	483.544789853	ritz_air	210		2.5872992280	5.1513677700	15	13		L5951	0
Th	1	483.588975570	ritz_air	19		2.6132338080	5.1770680700	11	9		L12239	0
Th	1	483.598487092	ritz_air	16		1.9365072870	4.5002911300	7	9		L3552	0
Th	1	483.642628798	ritz_air	32		2.7478783540	5.3114281700	9	7		L5951	0
Th	1	483.744537823	ritz_air	27		2.5063318890	5.0693416700	7	5		L5951	0
Th	1	483.770156617	ritz_air	15		2.6773982580	5.2402723100	7	9		L12239	0
Th	1	483.804355687	ritz_air	400		2.4286473910	4.9913402900	11	9		L12239	0
Th	1	483.826188477	ritz_air	14		2.3029581560	4.8655354100	3	5		L12239	0
Th	1	483.859596336	ritz_air	61		1.7614332090	4.3238335300	9	7		L5951	0
Th	1	483.876355781	ritz_air	130		1.7614332090	4.3237447800	9	9		L5951	0
Th	1	483.991115215	ritz_air	76		2.7478783540	5.3095823700	9	9		L5951	0
Th	1	484.102742819	ritz_air	82		1.6335058670	4.1946191900	9	9		L5951	0
Th	1	484.114333893	ritz_air	18		2.5940125800	5.1550645600	5	5		L12239	0
Th	1	484.152565032	ritz_air	15		2.1571260900	4.7179758600	7	7		L12239	0
Th	1	484.219529791	ritz_air	9600		0.3557427977	2.9162384180	7	7		L18702	0
Th	1	484.228525177	ritz_air	540		2.4779689210	5.0384169800	13	13		L5951	0
Th	1	484.340476868	ritz_air	34		2.2383633370	4.7982195600	9	9		L5951	0
Th	1	484.351898897	ritz_air	170*		1.6227747630	4.1825706200	7	5		L5951	0
Th	1	484.352169969	ritz_air	170*		2.5063318890	5.0661263200	7	9		L5951	0
Th	1	484.411783779	ritz_air	15		1.7934589390	4.3529383500	5	5		L12239	0
Th	1	484.437641637	ritz_air	100		2.1517009540	4.7110437400	3	5		L5951	0
Th	1	484.445860817	ritz_air	53		1.7614332090	4.3207325700	9	11		L5951	0
Th	1	484.522995274	ritz_air	830		1.0220763970	3.5809683320	5	5		L18702	0
Th	1	484.529450986	ritz_air	1400		0.9301651190	3.4890229610	7	9		L18702	0
Th	1	484.596812852	ritz_air	27		2.5940125800	5.1525147200	5	7		L5951	0
Th	1	484.627875090	ritz_air	180		2.4732857860	5.0316239400	9	11		L5951	0
Th	1	484.651618388	ritz_air	820		0.7888365657	3.3470493870	5	7		L18702	0
Th	1	484.703130050	ritz_air	18		2.2402786110	4.7982195600	7	9		L12239	0
Th	1	484.721357884	ritz_air	20		2.8896783650	5.4475231200	13	13		L12239	0
Th	1	484.734415347	ritz_air	8		1.6227747630	4.1805506200	7	5		L3552	0
Th	1	484.850003004	ritz_air	26		1.9668714740	4.5240375600	5	5		L5951	0
Th	1	484.868050791	ritz_air	310		1.7934589390	4.3505298420	5	7		L5951	0
Th	1	484.914816195	ritz_air	33		2.9861523160	5.5429766400	13	13		L5951	0
