element	ion_stage	wavelength_vacuum_nm	gA_s-1	Ei_eV	Ek_eV	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	kurucz_ref	nist_match	nist_gA
Th	2	303.217122140	316874678.054	1.3782808200	5.4672385100	5f.6d.(3G*).7s	4G*	3.5	5f2.6d+5f.6d.7p		4.5	8	10	MC	1	0
Th	2	303.258222404	23108394.6026	0.5567214940	4.6451250100	5f.7s2	2F*	2.5	5f.6d.(3F*).7p		2.5	6	6	MC	1	0
Th	2	303.283768784	499685468.757	1.6621858400	5.7502449800	5f.6d.(3H*).7s	4H*	6.5	5f.6d.(3H*).7p		6.5	14	14	MC	1	0
Th	2	303.494828500	636931109.068	1.0388461350	5.1240623100	5f.7s2	2F*	3.5	5f.6d.(3F*).7p		2.5	8	6	MC	1	0
Th	2	303.599355611	486175815.408	1.2632832800	5.3470929500	5f.6d.(3H*).7s	4H*	5.5	5f.6d.(3H*).7p	2I	5.5	12	12	MC	1	0
Th	2	303.642113292	96309887.3082	1.1884386710	5.2716732700	5f.6d.(3G*).7s	4G*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	303.948283789	77409710.1577	0.7647786520	4.8439001600	5f.6d.(3H*).7s	4H*	3.5	5f2.(3F).6d		3.5	8	8	MC	1	0
Th	2	304.093421058	88182167.481	0.9089883420	4.9861629800	5f.6d.(3F*).7s	4F*	2.5	5f.6d.(3H*).7p		2.5	6	6	MC	1	0
Th	2	304.395051447	135994005.196	0.8307172240	4.9038517200	5f.6d.(3H*).7s	*	4.5	5f.6d.(3F*).7p		4.5	10	10	MC	1	0
Th	2	304.783751626	1165228993.45	1.6621858400	5.7301257400	5f.6d.(3H*).7s	4H*	6.5	5f.6d.(3F*).7p		5.5	14	12	MC	1	0
Th	2	304.997914181	231633391.231	0.5567214940	4.6218049800	5f.7s2	2F*	2.5	5f.6d.(3F*).7p		3.5	6	8	MC	1	0
Th	2	305.053072976	1108265802.63	1.9478961570	6.0122446000	5f.6d.(3D*).7s	2D*	1.5	5f2.6d+5f.6d.7p		2.5	4	6	MC	1	0
Th	2	305.074942446	375475707.925	1.8034192550	5.8674763500	5f.6d.(3D*).7s	4D*	2.5	5f2.6d+5f.6d.7p		2.5	6	6	MC	1	0
Th	2	305.187155512	232949810.915	1.2632832800	5.3258460700	5f.6d.(3H*).7s	4H*	5.5	5f.6d.(3H*).7p		4.5	12	10	MC	1	0
Th	2	305.268030742	86702648.1032	0.8307172240	4.8922037100	5f.6d.(3H*).7s	*	4.5	5f2.(3F).6d		3.5	10	8	MC	1	0
Th	2	305.852574995	34623452.5557	0.7647786520	4.8185028400	5f.6d.(3H*).7s	4H*	3.5	5f.6d.(3H*).7p		2.5	8	6	MC	1	0
Th	2	305.878916587	97790274.372	1.3782808200	5.4316559100	5f.6d.(3G*).7s	4G*	3.5	5f2.6d+5f.6d.7p		4.5	8	10	MC	1	0
Th	2	305.931535756	765854499.927	1.7958273400	5.8485052700	5f.6d.(3H*).7s	2H*	5.5	5f2.6d+5f.6d.7p		4.5	12	10	MC	1	0
Th	2	306.106688596	288170240.579	1.0388461350	5.0892051400	5f.7s2	2F*	3.5	5f.6d.(1G*).7p		4.5	8	10	MC	1	0
Th	2	306.258975716	218885480.487	0.8307172240	4.8790621900	5f.6d.(3H*).7s	*	4.5	5f.6d.(1G*).7p		5.5	10	12	MC	1	0
Th	2	306.391864985	1116452598.46	1.5483504220	5.5949395300	5f.6d.(3F*).7s	4F*	4.5	5f2.6d+5f.6d.7p		4.5	10	10	MC	1	0
Th	2	306.401671441	491827150.111	1.1884386710	5.2348982600	5f.6d.(3G*).7s	4G*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	306.682102658	195441934.42	1.2041298140	5.2468893100	6d2.(1G).7s	2G	3.5	6d2.(3F).7p	*	4.5	8	10	MC	1	0
Th	2	306.730301729	186157788.447	1.5150839550	5.5572081700	6d2.(1D).7s	2D	1.5	6d.7s.(3D).7p	*	2.5	4	6	MC	1	0
Th	2	306.862084733	2795813765.22	1.6621858400	5.7025741500	5f.6d.(3H*).7s	4H*	6.5	5f.6d.(3H*).7p		7.5	14	16	MC	1	0
Th	2	306.987387117	102365483.017	0.5099915580	4.5487307200	6d.(2D).7s2		2.5	6d2.(3F).7p	*	2.5	6	6	MC	1	0
Th	2	307.014768975	119419705.405	1.3233004990	5.3616794500	5f.6d.(3F*).7s	*	2.5	5f2.(3F).6d		1.5	6	4	MC	1	0
Th	2	307.170857075	780970506.504	1.3107660780	5.3470929500	5f.6d.(3H*).7s	*	4.5	5f.6d.(3H*).7p	2I	5.5	10	12	MC	1	0
Th	2	307.300754618	173887068.071	0.5141100360	4.5487307200	6d2.(3F).7s	4F	3.5	6d2.(3F).7p	*	2.5	8	6	MC	1	0
Th	2	307.371809420	611035675.593	1.7132555730	5.7469435900	5f.6d.(3F*).7s	*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
