test_id,height_um,line_id,center_nm,relative_strength,role,status,applied_center_nm,area,area_sigma,snr,area_fraction,height,center_height,peak_offset_nm,centroid_offset_nm,fwhm_nm,top_flatness,noise,line_relative
1339,35000.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7728491756527,16.795343320377686,2.1922226511299927,7.661330983748589,0.00047202757240118615,38.11199540012626,38.0896470544324,-0.006182508951951604,0.04315914144571932,0.3999999999996362,0.10876082538731989,8.490441819012856,0.6749316098178001
1339,35000.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3863631756527,469.8209582006597,2.448150468890453,191.9085302030439,0.01320416273322536,723.2428982449565,705.0690079287048,0.046970157648615896,0.03063259290922677,0.5999999999994543,0.04261786751956415,9.481645995031228,0.6559110614925892
1339,35000.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7929031756527,354.42733968284676,2.396518988498499,147.89256475072105,0.009961063227574594,658.5022711041372,655.2099821641351,0.007096824312270655,0.039271356521597946,0.46666666666624224,0.0793363099051188,9.28167813133297,0.7064825390226852
1340,35100.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7726736216154,24.592702617663218,0.8993546401613453,27.34483319422387,0.0006751957718871331,39.15462477179494,36.50076932818647,0.06065971175200957,0.13031660716225474,0.3999999999996362,0.07741116156281876,3.483185543682422,0.9654329448251733
1340,35100.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3861876216154,514.5006665860866,6.29624133507924,81.71552505771469,0.014125681106009563,952.1056523578391,931.8724292279668,0.04714571168597104,0.034398044220386385,0.46666666666624224,0.07933302840939586,24.385237834486826,0.7016870873027592
1340,35100.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7927276216153,364.96335887580454,3.9313595502336343,92.8338795300764,0.010020115342251248,769.8896672620649,768.040464990445,0.0072723783496257965,0.018574940654752996,0.3999999999996362,0.08982231007843816,15.226090066022195,0.710670775454709
1341,35200.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7724476905687,10.668487052084435,1.3160676679083638,8.106336256280759,0.0002873017700398569,35.91181910188084,26.138321211109975,0.09421897613196961,0.12003962976274202,0.26666666666642413,0.1574143003333111,5.097108160295762,0.41080025298118955
1341,35200.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3859616905687,572.4327822997914,2.0040599805849237,285.63655172272627,0.015415583370037213,1070.3140778337965,1058.3325383015253,0.014038309399325044,0.03283284502354461,0.46666666666624224,0.07688762287729298,7.761690929613228,0.7657624232641332
1341,35200.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7925016905687,400.55956125919005,6.634114536167965,60.378752744682565,0.01078704697248228,890.5071469746736,888.1127353282498,0.007498309396282821,0.03829055438971615,0.3999999999996362,0.09276322809892808,25.69381511543444,0.7650649493499745
1342,35300.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7717995547665,14.19760494175531,0.7734089339546228,18.357177320359614,0.00028514567125275514,25.240468011569305,23.202473960189405,0.061533778600846745,0.010691774204230797,0.4333333333329392,0.08638021907088295,2.9953999210170106,0.40771734149383265
