file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
"1076-Test #1076 10 45, Mar 25 2024.03.25.10.45.csv",NIR,1,,1,6.659805210979714e-11,7.740149032003636e-05,2.0239820698445756,303.1928757589723,0.06746606899481919,5.4425294619763056e-05,-3.4427846443559815e-09,-2.717124128890601e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0007474169528311476,32.01182198524475
"1086-Test #1086 10 46, Mar 25 2024.03.25.10.46.csv",UV,1,,1,6.237704957191501e-11,0.00045241185761578216,0.4380931175813235,126.21441359012952,0.01460310391937745,1.1200163158071963e-05,-5.474830287387755e-10,-6.205058121624859e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0007140533100314583,30.672441244125366
"1086-Test #1086 10 46, Mar 25 2024.03.25.10.46.csv",VIS,1,,1,6.104847847787231e-11,0.0001755778937445725,1.7162243080843866,61.601894504398324,0.05720747693614622,7.958632684882047e-06,-4.411678337530878e-10,-4.000212882752524e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.0002237235755816053,30.672468423843384
"1086-Test #1086 10 46, Mar 25 2024.03.25.10.46.csv",NIR,1,,1,6.247438799631236e-11,0.0003010985937709866,2.0239820698447066,303.1928757592528,0.06746606899482355,5.4425294619813404e-05,-3.4427846443359012e-09,-2.717124129636105e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.0010236369717002841,30.672483682632446
"1089-Test #1089 10 47, Mar 25 2024.03.25.10.47.csv",UV,1,,1,6.204056860663293e-11,0.0010271802362530162,0.4380931175813248,126.21441359023666,0.014603103919377493,1.1200163158081471e-05,-5.474830287384311e-10,-6.20505812273732e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0008372899248201491,30.37391972541809
"1089-Test #1089 10 47, Mar 25 2024.03.25.10.47.csv",VIS,1,,1,6.097402968159511e-11,2.3955891658238804e-05,1.7162243080846307,61.6018945042049,0.057207476936154356,7.958632684857057e-06,-4.4116783376694436e-10,-4.000212879173214e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136981967,0.11292126294438276,0.0003237215674251038,30.373942375183105
"1089-Test #1089 10 47, Mar 25 2024.03.25.10.47.csv",NIR,1,,1,6.505745066525693e-11,0.00010000576719802596,2.0239820698445183,303.19287575903275,0.06746606899481727,5.4425294619773905e-05,-3.4427846443216336e-09,-2.7171241288401354e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874381966,0.000852274675715846,30.373955011367798
"1109-Test #1109 10 49, Mar 25 2024.03.25.10.49.csv",UV,1,,1,5.789069939600356e-11,0.0003097852215161897,0.43809311758139285,126.21441359008179,0.014603103919379763,1.1200163158067727e-05,-5.474830287479977e-10,-6.20505812090948e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.000860806212365625,26.38659429550171
"1109-Test #1109 10 49, Mar 25 2024.03.25.10.49.csv",VIS,1,,1,5.92039314823116e-11,0.00021481750773653198,1.7162243080843556,61.60189450401748,0.05720747693614518,7.958632684832844e-06,-4.411678337531628e-10,-4.00021287591614e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136981967,0.11292126294438276,0.0002408362663851954,26.386616706848145
"1109-Test #1109 10 49, Mar 25 2024.03.25.10.49.csv",NIR,1,,1,6.314907923616971e-11,0.00017445527288741566,2.0239820698444606,303.1928757592641,0.06746606899481536,5.442529461981543e-05,-3.4427846443705845e-09,-2.7171241292527887e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0009098693692125452,26.38663077354431
