campaign,file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_21_19,2025_04_01_17_21_19_20250401_052112_PM_AverageSpectrum.csv,NIR,1,,1,8.470202147650057e-11,0.007537946458741307,-2.278966974634823,75.51300590661229,-0.07596556582116076,1.3555125870960249e-05,3.29090312333381e-09,4.633508257660593e-14,866.4887758531573,13,13,623.0333333334336,943.0,1922,0.19830021778432183,0.15625390480340684,0.0007014367774068724,113.31248760223389
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_47,2025_04_01_17_39_47_20250401_053938_PM_AverageSpectrum.csv,UV,1,,1,7.17803925247925e-11,0.006962733189133666,1.3222600443782606,61.413533306027276,0.04407533481260869,5.449786387907317e-06,-2.6641659987610173e-10,-3.019322270789074e-14,919.7531525530004,13,13,195.53333333333273,358.9666666667471,2091,0.09598804794367766,0.07869038027132547,0.0018686824841521383,51.62400484085083
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_47,2025_04_01_17_39_47_20250401_053938_PM_AverageSpectrum.csv,VIS,1,,1,6.272351673787374e-11,0.0003030355171818433,1.3697223054940215,55.7957245590742,0.04565741018313405,7.208506827997286e-06,-3.995863947750576e-10,-3.6231802113363627e-14,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.1416814033650553,0.11292061099140938,0.00016204226976069953,51.62404179573059
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_47,2025_04_01_17_39_47_20250401_053938_PM_AverageSpectrum.csv,NIR,1,,1,7.388786471672858e-11,0.00695339740506638,-2.2789669746344723,75.51300590647729,-0.07596556582114908,1.3555125870936012e-05,3.2909031233048352e-09,4.6335082612878656e-14,866.4887758531573,13,13,623.0333333334336,943.0,1922,0.19830021778432183,0.15625390480340684,0.000572276888090069,51.62405443191528
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_38_58,2025_04_01_17_38_58_20250401_053852_PM_AverageSpectrum.csv,UV,1,,1,7.804489046517391e-11,0.012273168275615516,1.3222600443781931,61.413533306046425,0.044075334812606434,5.449786387909017e-06,-2.664165998738035e-10,-3.0193222713144107e-14,919.7531525530004,13,13,195.53333333333273,358.9666666667471,2091,0.09598804794364924,0.07869038027132547,0.0027587746896254356,54.81141924858093
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_38_58,2025_04_01_17_38_58_20250401_053852_PM_AverageSpectrum.csv,VIS,1,,1,6.273134541067378e-11,0.0005848117597444168,1.3697223054941563,55.79572455900273,0.04565741018313854,7.208506827988053e-06,-3.995863947881809e-10,-3.62318020819753e-14,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.14168140336499846,0.11292061099140938,0.00021166564102248202,54.81151509284973
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_38_58,2025_04_01_17_38_58_20250401_053852_PM_AverageSpectrum.csv,NIR,1,,1,7.259010062074617e-11,0.002946649546931292,-2.27896697463464,75.5130059064963,-0.07596556582115467,1.3555125870939426e-05,3.2909031233242202e-09,4.6335082609144624e-14,866.4887758531573,13,13,623.0333333334336,943.0,1922,0.19830021778432183,0.15625390480340684,0.0006848800898633864,54.81156635284424
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_22,2025_04_01_17_39_22_20250401_053914_PM_AverageSpectrum.csv,UV,1,,1,7.673321527746125e-11,0.011371946191216039,1.322260044378363,61.413533306114225,0.044075334812612096,5.449786387915033e-06,-2.6641659987844545e-10,-3.019322271728625e-14,919.7531525530004,13,13,195.53333333333273,358.9666666667471,2091,0.09598804794367766,0.07869038027132547,0.0031520601222109453,56.31234407424927
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_22,2025_04_01_17_39_22_20250401_053914_PM_AverageSpectrum.csv,VIS,1,,1,6.27689590301197e-11,0.0001271954127764952,1.3697223054941308,55.79572455898209,0.04565741018313769,7.208506827985386e-06,-3.9958639479751837e-10,-3.623180208394573e-14,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.14168140336499846,0.11292061099140938,0.0002267061858795662,56.31237077713013
hosts/opal/LabData/LIBS/profile_builder/mapping_01/2025_04_01_17_39_22,2025_04_01_17_39_22_20250401_053914_PM_AverageSpectrum.csv,NIR,1,,1,7.39596981711484e-11,0.004816117512039721,-2.278966974634484,75.51300590632466,-0.07596556582114945,1.3555125870908614e-05,3.29090312329742e-09,4.633508265789763e-14,866.4887758531573,13,13,623.0333333334336,943.0,1922,0.19830021778420814,0.15625390480340684,0.0008521611604340347,56.31238627433777
