campaign,file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
hosts/opal/LabData/LIBS/raw/z300-sd/9c11f38577c1871b5808ef769a2c4827d656ec0e82823636c134c7bb43d89b06/payload,10052023_white_5b.csv,UV,1,,1,5.934951732622428e-11,0.001222867828887909,0.18696980186969164,112.89904634434123,0.006232326728989722,1.0018568430335265e-05,-4.896846165727353e-10,-5.550336377511167e-14,919.3795397870695,13,13,195.4999999999994,358.9333333334137,2091,0.09599296279057512,0.0786944094310229,0.0017393014182215294,91.42665243148804
hosts/opal/LabData/LIBS/raw/z300-sd/9c11f38577c1871b5808ef769a2c4827d656ec0e82823636c134c7bb43d89b06/payload,10052023_white_5b.csv,VIS,1,,1,5.919060850666928e-11,0.0001540116396718689,-1.2555679863371165,174.35190272530062,-0.041852266211237214,2.2525325931362048e-05,1.5088333417700822e-09,-4.0828643219377516e-14,935.662048746658,13,13,368.0000000000832,616.5000000001025,1986,0.14169313876050182,0.11293986285272695,0.00044652665512601733,91.42669486999512
hosts/opal/LabData/LIBS/raw/z300-sd/9c11f38577c1871b5808ef769a2c4827d656ec0e82823636c134c7bb43d89b06/payload,10052023_white_5b.csv,NIR,1,,1,6.922255444230192e-11,2.726893473898623e-05,-2.6140370133915694,-109.59980674596851,-0.08713456711305231,-1.9673950970933754e-05,5.391921558171563e-09,2.1219994053266857e-13,866.396460440226,13,13,623.0333333334336,943.7666666664716,1922,0.1982637238488678,0.1562251488091988,0.0005070034487291398,91.42671394348145
hosts/opal/LabData/LIBS/raw/z300-sd/b0024bd4bb92f4af3e0a96178539a1dea4f49dec49e386a9978fc2337eaea0c5/payload,10272023_GESO_Red_14.csv,UV,1,,1,6.386229446593753e-11,0.0042466543520453415,0.5598212511741286,183.5215356081655,0.018660708372470955,1.6285549988817707e-05,-7.960654024914033e-10,-9.02243517400686e-14,919.5663461700353,13,13,195.4999999999994,358.9666666667471,2091,0.09599970508176625,0.07869993671766906,0.0019772150060752606,35.71450853347778
hosts/opal/LabData/LIBS/raw/z300-sd/b0024bd4bb92f4af3e0a96178539a1dea4f49dec49e386a9978fc2337eaea0c5/payload,10272023_GESO_Red_14.csv,VIS,1,,1,5.166689815450302e-11,6.928714884504443e-07,-1.333121768390919,193.30847596450144,-0.0444373922796973,2.4974413002281468e-05,1.3731260097000771e-09,-5.313702413739102e-14,935.662048746658,13,13,368.0000000000832,616.5000000001025,1986,0.14169580937220871,0.11294199152689544,0.00037490683171341336,35.714526414871216
hosts/opal/LabData/LIBS/raw/z300-sd/b0024bd4bb92f4af3e0a96178539a1dea4f49dec49e386a9978fc2337eaea0c5/payload,10272023_GESO_Red_14.csv,NIR,1,,1,5.927906802914769e-11,6.370030486551849e-06,2.5799259973904762,186.30970219661475,0.0859975332463492,3.3443927094883276e-05,-2.1155647726321144e-09,-1.6696509490626505e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.1983289908922643,0.15626287195368604,0.0006234546800705182,35.71453809738159
hosts/opal/LabData/LIBS/raw/z300-sd/abb4ca12ab3cb1b6c50bf0778da388a5dda1073e889b83f8e8b03749b81ef150/payload,10052023_white_3b.csv,UV,1,,1,5.743942920700708e-11,0.00030498591482492845,0.18696980186959322,112.8990463442215,0.0062323267289864405,1.001856843032464e-05,-4.896846165742101e-10,-5.5503363766577393e-14,919.3795397870695,13,13,195.4999999999994,358.9333333334137,2091,0.09599296279057512,0.0786944094310229,0.0012771909148769406,48.461527585983276
hosts/opal/LabData/LIBS/raw/z300-sd/abb4ca12ab3cb1b6c50bf0778da388a5dda1073e889b83f8e8b03749b81ef150/payload,10052023_white_3b.csv,VIS,1,,1,5.938169618274127e-11,4.164547782595208e-05,-1.2555679863370615,174.35190272574803,-0.04185226621123538,2.2525325931419846e-05,1.5088333417814907e-09,-4.082864333678782e-14,935.662048746658,13,13,368.0000000000832,616.5000000001025,1986,0.14169313876050182,0.11293986285284063,0.0002498758656097136,48.46156072616577
hosts/opal/LabData/LIBS/raw/z300-sd/abb4ca12ab3cb1b6c50bf0778da388a5dda1073e889b83f8e8b03749b81ef150/payload,10052023_white_3b.csv,NIR,1,,1,6.340777727842974e-11,0.0005477452698069838,-2.614037013391064,-109.59980674601037,-0.08713456711303547,-1.967395097094127e-05,5.391921558135852e-09,2.1219994055244568e-13,866.396460440226,13,13,623.0333333334336,943.7666666664716,1922,0.1982637238488678,0.1562251488091988,0.000343822765885971,48.461583375930786
hosts/opal/LabData/LIBS/raw/z300-sd/955daecaaf0bd260f3e239a201f0c865459142e5c5fa4fb4f1e7496ec7fbee57/payload,10122023_white_2p_5.csv,UV,1,,0,4.8244344734955034e-05,0.00044016012379837985,0.28068555112524174,123.75219918399347,0.009356185037508057,1.0981668278648496e-05,-5.341971953447779e-10,4.9438601890981425e-14,919.5663461700353,13,13,195.4999999999994,346.0,2091,0.09599427376434733,0.07869561392584501,0.0014479883145168695,105.45953154563904
hosts/opal/LabData/LIBS/raw/z300-sd/955daecaaf0bd260f3e239a201f0c865459142e5c5fa4fb4f1e7496ec7fbee57/payload,10122023_white_2p_5.csv,VIS,1,,1,6.257148205024648e-11,0.0001582544920440163,-1.5051498825056095,190.0090779582475,-0.05017166275018699,2.454814856635357e-05,1.3967459169188974e-09,-5.099474624532739e-14,935.662048746658,13,13,368.0000000000832,616.5000000001025,1986,0.14169534455135135,0.11294162103047256,0.00031706289134149487,105.45956349372864
hosts/opal/LabData/LIBS/raw/z300-sd/955daecaaf0bd260f3e239a201f0c865459142e5c5fa4fb4f1e7496ec7fbee57/payload,10122023_white_2p_5.csv,NIR,1,,1,6.630291441438499e-11,0.00018078247905574973,1.9142190786783189,108.570643126657,0.06380730262261063,1.9489208723765986e-05,-1.232788806861165e-09,-9.729646313910872e-14,866.4887758531573,13,13,623.0333333334336,943.9333333331381,1922,0.19831366365644953,0.15625079566632394,0.0007328211038850651,105.45957779884338
hosts/opal/LabData/LIBS/raw/z300-sd/9eb7c941c8ddece7148c778b33e7191087ef3383d65e038739b6f43c93fc6f3d/payload,10232023_white_pre_4.csv,UV,1,,1,6.349411027093908e-11,0.00309913472222708,1.383331644353006,146.83930793184982,0.04611105481176686,1.3030399302855098e-05,-6.370001808591582e-10,-7.219166971618269e-14,919.7531525530004,13,13,195.53333333333273,358.9666666667471,2091,0.09599620340742376,0.07869706606771842,0.0025705382858115682,88.02863597869873
hosts/opal/LabData/LIBS/raw/z300-sd/9eb7c941c8ddece7148c778b33e7191087ef3383d65e038739b6f43c93fc6f3d/payload,10232023_white_pre_4.csv,VIS,1,,1,3.7046939784016366e-07,0.00020478545881008758,-0.33342839936862445,116.46472920540896,-0.011114279978954148,1.5046615172264296e-05,1.922655510442637e-09,1.7533059887681705e-16,935.662048746658,13,13,368.0000000000832,616.5333333334358,1986,0.14168499364552645,0.11293337235201761,0.0002216802104092979,88.02868294715881
hosts/opal/LabData/LIBS/raw/z300-sd/9eb7c941c8ddece7148c778b33e7191087ef3383d65e038739b6f43c93fc6f3d/payload,10232023_white_pre_4.csv,NIR,1,,1,6.314749059449544e-11,0.000175190342607789,0.5906252181391135,542.5123533482949,0.019687507271303785,9.738485639522214e-05,-2.0104489271746912e-09,-3.7212766312814494e-13,866.9503529178137,13,13,623.0333333334336,943.9666666664714,1920,0.19839228883915894,0.15632645369919373,0.0016291510384211737,88.02870845794678
hosts/opal/LabData/LIBS/raw/z300-sd/a3914b24978fd8fcaec3a1375efe94ce6f9ed855d495a3d13c0029705a376e99/payload,Shot(13).csv,UV,1,,1,3.4672569986969965e-12,3.121839979648714e-12,-1.3503627144008867,1389.7792407034372,-0.045012090480029555,0.00012332786570738518,1.3305814135513713e-07,-1.225958166764364e-10,918.6323501904089,13,13,195.5999999999994,359.0000000000199,2091,0.0955511500699231,0.07869337178692604,1.4140973695386291e-15,71.6573691368103
hosts/opal/LabData/LIBS/raw/z300-sd/a3914b24978fd8fcaec3a1375efe94ce6f9ed855d495a3d13c0029705a376e99/payload,Shot(13).csv,VIS,1,,0,2.6907531322660255e-05,2.7137635347345936e-05,-1.3969016148016238,141.13805295422094,-0.04656338716005413,1.8234275591018968e-05,1.7307470734109905e-09,-1.4412604633400038e-13,935.4054798919528,13,13,368.0000000000207,616.5000000000781,1986,0.14168816274570872,0.11293569989004482,0.0009914563112034388,71.6574182510376
hosts/opal/LabData/LIBS/raw/z300-sd/a3914b24978fd8fcaec3a1375efe94ce6f9ed855d495a3d13c0029705a376e99/payload,Shot(13).csv,NIR,1,,1,4.691356039426643e-11,1.058652162301427e-05,3.674804505531883,325.0801567044697,0.12249348351772943,5.8354218447218685e-05,-3.6916882590043647e-09,-2.913373689677493e-13,866.8580375057923,13,13,623.1000000000787,944.0000000001526,1920,0.19835635303695653,0.1562844305129829,0.005044280743946583,71.65744972229004
hosts/opal/LabData/LIBS/raw/z300-sd/afb6832824d959199ef2e73d886de375814436a7779d979f82ae56afec53797c/payload,Shot(36).csv,UV,1,,1,2.8497686023376297e-12,2.671322198014401e-12,0.2893615175367883,102.38122702139296,0.009645383917892943,9.085225802236606e-06,-4.403719779241979e-08,4.180599715051649e-12,918.6323501904089,7,13,195.4999999999994,358.9000000000199,2090,0.09608270639250804,0.07861731846423936,1.3358449629834951e-15,41.29596161842346
hosts/opal/LabData/LIBS/raw/z300-sd/afb6832824d959199ef2e73d886de375814436a7779d979f82ae56afec53797c/payload,Shot(36).csv,VIS,1,,0,0.00011254758878093687,0.00012195319379449414,-1.603986448258382,147.93365906622643,-0.05346621494194607,1.911223126676088e-05,1.6440984988448484e-09,-2.1695808744933708e-13,935.4054798919528,13,13,368.0000000000207,615.0,1986,0.14168901174161874,0.11293616436546472,0.000930406356462699,41.296003580093384
hosts/opal/LabData/LIBS/raw/z300-sd/afb6832824d959199ef2e73d886de375814436a7779d979f82ae56afec53797c/payload,Shot(36).csv,NIR,1,,0,0.00023543421294114464,0.00022630662913349566,-1.2798219870986791,297.2787154532944,-0.042660732903289304,5.336366044956932e-05,4.662221228530565e-10,1.6528488590476535e-13,866.8580375057923,13,13,635.0,943.8000000001525,1921,0.19834518619029495,0.15628863793529035,0.0017326170908880032,41.29603028297424
hosts/opal/LabData/LIBS/raw/z300-sd/ad6854971b54839a7dcac04b1fb9ca011671111f65ef3c5808a9ddbe65b5d831/payload,10182023_red_05mMLiOH_7.csv,UV,1,,1,7.435764432028277e-11,0.00994202855472081,1.4893535546542636,162.72361921929405,0.04964511848847545,1.44399600100079e-05,-7.059075449944727e-10,-8.000098033599383e-14,919.7531525530004,13,13,195.53333333333273,359.00000000008043,2091,0.09599771985756433,0.07869830924369126,0.005243529490442684,46.825172901153564
hosts/opal/LabData/LIBS/raw/z300-sd/ad6854971b54839a7dcac04b1fb9ca011671111f65ef3c5808a9ddbe65b5d831/payload,10182023_red_05mMLiOH_7.csv,VIS,1,,1,6.12331617851067e-11,0.000387761994027367,0.3112344345119694,97.5929835356427,0.010374481150398981,1.2608487366025167e-05,2.0583392046702397e-09,9.01042848166684e-15,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.14168232492488642,0.11293124342967076,0.00029328063174422224,46.82521295547485
hosts/opal/LabData/LIBS/raw/z300-sd/ad6854971b54839a7dcac04b1fb9ca011671111f65ef3c5808a9ddbe65b5d831/payload,10182023_red_05mMLiOH_7.csv,NIR,1,,1,6.646470568135112e-11,0.00046200910293881284,1.4641013091375126,340.1272254461382,0.048803376971250416,6.105527515041168e-05,2.8712748055836414e-10,-1.9077043818713955e-13,866.9503529178137,13,13,623.0333333334336,943.9666666664714,1922,0.19835238624045815,0.15629501179296312,0.0032999678855623834,46.825236320495605
hosts/opal/LabData/LIBS/raw/z300-sd/acef43202fc831c88b861213a4c90e25cbe907f88b932b72ba0b63d8d003d330/payload,10182023_red_10mMLiOH_1.csv,UV,1,,1,6.078887229107565e-11,0.003240023596227351,1.1043408989847725,195.40067488606851,0.03681136329949242,1.7339695029035045e-05,-8.475938083075449e-10,-9.60644660830475e-14,919.5663461700353,13,13,195.53333333333273,358.9666666667471,2091,0.09600083914372703,0.07870086641429452,0.00252712169819995,49.911067724227905
hosts/opal/LabData/LIBS/raw/z300-sd/acef43202fc831c88b861213a4c90e25cbe907f88b932b72ba0b63d8d003d330/payload,10182023_red_10mMLiOH_1.csv,VIS,1,,1,6.224474640787015e-11,6.369784464146163e-05,-0.8042809777893684,151.83780365264434,-0.02680936592631228,1.961662570076246e-05,1.6700084803387178e-09,-2.621038371523498e-14,935.662048746658,13,13,368.0000000000832,616.5333333334358,1986,0.14168996696275826,0.11293733469642575,0.00032574271757752606,49.91109585762024
hosts/opal/LabData/LIBS/raw/z300-sd/acef43202fc831c88b861213a4c90e25cbe907f88b932b72ba0b63d8d003d330/payload,10182023_red_10mMLiOH_1.csv,NIR,1,,1,8.217131741095317e-11,1.2541806554804545e-05,-0.2423942686926615,274.93349826880893,-0.00807980895642205,4.9352533784525225e-05,1.0272883440695317e-09,-1.3235226139430017e-13,866.7657220919516,13,13,623.0333333334336,943.8999999998048,1921,0.19833953295017182,0.15628488383231343,0.0007839958498543024,49.911115407943726
hosts/opal/LabData/LIBS/raw/z300-sd/9cffae464fba7e1634d046833a2bd35a8a6a02c7fa81f3553fac3f01a65268cb/payload,10022023_C_2.csv,UV,1,,1,5.648471118414103e-11,0.0003675871557154411,-0.46976818276862803,123.39424932957834,-0.015658939425620935,1.094990410324396e-05,-5.352061683087133e-10,-6.066300237800153e-14,919.3795397870695,13,13,195.46666666666607,358.90000000008035,2091,0.09599396471443811,0.07869523080165663,0.0018976654560128843,94.90281558036804
hosts/opal/LabData/LIBS/raw/z300-sd/9cffae464fba7e1634d046833a2bd35a8a6a02c7fa81f3553fac3f01a65268cb/payload,10022023_C_2.csv,VIS,1,,1,6.299222416984648e-11,0.00012552335383502624,1.335666044425777,60.24104213358481,0.04452220148085923,7.7828178946911e-06,-4.314219599129331e-10,-3.9118438082396224e-14,935.662048746658,13,13,368.0000000000832,616.5666666667692,1987,0.14168202964560805,0.11292111013938211,9.577032694938136e-05,94.90290522575378
hosts/opal/LabData/LIBS/raw/z300-sd/9cffae464fba7e1634d046833a2bd35a8a6a02c7fa81f3553fac3f01a65268cb/payload,10022023_C_2.csv,NIR,1,,0,8.376069197848898e-06,0.00032062571395530183,2.6086131217914104,-60.72454599258169,0.08695377072638034,-1.090049130615104e-05,7.174926425939705e-10,-1.7757355144351888e-15,866.4887758531573,13,13,623.0333333334336,943.9333333331381,1922,0.1982801110161745,0.15622439685387235,0.00011551633360836262,94.90293383598328
hosts/opal/LabData/LIBS/raw/z300-sd/b033dea7c4faa97331f52192d63ecddd72670a6baca0b2bef61927804fabe385/payload,Shot(33).csv,UV,1,,1,1.9940832759313955e-12,2.855633744166602e-12,-1.9328641253535275,-1245.1082922096302,-0.06442880417845091,-0.00011048988483599617,3.5243021553803194e-08,5.4979027234654946e-11,918.6323501904089,13,13,195.5999999999994,358.80000000001985,2092,0.09594601602236708,0.07882220193937428,1.2642515833835973e-15,38.6407790184021
hosts/opal/LabData/LIBS/raw/z300-sd/b033dea7c4faa97331f52192d63ecddd72670a6baca0b2bef61927804fabe385/payload,Shot(33).csv,VIS,1,,0,7.59483717818446e-05,7.634677379539834e-05,-1.3968313441617437,141.49417367458338,-0.04656104480539146,1.8280284468305006e-05,1.743788365000953e-09,-2.4589076699821687e-13,935.4054798919528,13,13,368.0000000000207,615.0,1986,0.14168791752791776,0.11293544579837089,0.0009761967428921517,38.64080786705017
hosts/opal/LabData/LIBS/raw/z300-sd/b033dea7c4faa97331f52192d63ecddd72670a6baca0b2bef61927804fabe385/payload,Shot(33).csv,NIR,1,,1,5.6801790671204134e-11,0.00012033769877055377,3.674804505532166,325.08015670446866,0.12249348351773887,5.83542184472185e-05,-3.6916882590495833e-09,-2.9133736892711787e-13,866.8580375057923,13,13,623.1000000000787,944.0,1920,0.19835635303684285,0.1562844305129829,0.00468059082496065,38.64082670211792
hosts/opal/LabData/LIBS/raw/z300-sd/adac9e1b71d0cf4756eff90b5d7bd3bb93cbc2d81fcd4c75d3485d959d35fc45/payload,10252023_DTM_Red_Pre_2.csv,UV,1,,1,6.009798195722136e-11,0.00023094495404679986,0.39894847273251965,151.0994474178831,0.013298282424417322,1.3408440573756738e-05,-6.554273917094202e-10,-7.428475398860973e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.0959966098527616,0.07869739926894681,0.0015920052607851975,49.297513246536255
hosts/opal/LabData/LIBS/raw/z300-sd/adac9e1b71d0cf4756eff90b5d7bd3bb93cbc2d81fcd4c75d3485d959d35fc45/payload,10252023_DTM_Red_Pre_2.csv,VIS,1,,1,5.809457723521108e-11,5.557831964008667e-05,2.0964155971172067,90.9787644791876,0.0698805199039069,1.1753965920034333e-05,-6.515530856188901e-10,-5.907845557169522e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168636014341018,0.1129245615624086,0.00039722642181205787,49.29758954048157
